Row_Number,post_Description,TOXICITY,SEVERE_TOXICITY,INSULT,PROFANITY,THREAT,IDENTITY_ATTACK
201,"Gaetz alleges one of the lead prosecutors in the Trump investigation, Karen Gilbert, paid thousands of dollars to both President Biden and former President Obama's presidential campaigns.",0.01847211,0.00051259995,0.010932897,0.010160086,0.006420923,0.0022013725
211,Sahara Reporters’s Space · Where live audio conversations happen,0.0143253105,0.0013065338,0.007873878,0.014122557,0.008129764,0.006511623
220,"🔴 38% de popularité auprès des Français : la cote de Marine Le Pen ne cesse de monter, après les graves injures de la Première ministre 😉

Continuez à rejoindre la première force d’opposition au système Macron 👉🏻 https://www.adhesions-rn.fr",0.10956833,0.0020217896,0.08831572,0.011765569,0.0054742643,0.0032743104
260,"Rep. Matt Gaetz (R-FL) is demanding access to all records pertaining to the office of special counsel Jack Smith, accusing the Justice Department official of unfairly targeting former President Donald Trump by exerting partisan influence.",0.02449606,0.0007867813,0.012566907,0.011065305,0.0076119336,0.003921773
262,"Le Gouvernement pense qu'en parlant comme nous, il attirera nos électeurs ! #AttentionContrefaçon ⚠️

Il découvre que des aides sociales sont versées à l'étranger. Oui en effet, Marine Le Pen l'avait soulevé dans son programme présidentiel de 2022. 

👉🏻 https://mlafrance.fr/pdfs/projet-la-lutte-contre-la-fraude.pdf",0.08953904,0.0027656555,0.06739554,0.012995303,0.00541439,0.00847251
278,"Today I testified at the first ever Republican led Congressional hearing about January 6th. A small piece of history. Thank you to Matt Gaetz, Marjorie Taylor Greene, Paul Gosar, Troy Nehls, Ralph Norman, and Lauren Boebert.",0.009550206,0.0005364418,0.007664877,0.009596458,0.0063108844,0.0018961402
279,WATCH: Congressman Matt Gaetz tells Jeff Clark “I am deeply ashamed as a member of this government... at the way you’ve been treated.”,0.18744208,0.002784729,0.089778624,0.018597418,0.00746953,0.010433395
280,"Rep. Matt Gaetz (R-FL) held a House hearing with Jan. 6 defendants and family members, the first of its kind, during which they outlined accusations of abuse of power from the government.",0.02072494,0.00072956085,0.011312899,0.010979908,0.0068869707,0.0035702933
306,Rep. Matt Gaetz sent a letter to Attorney General Merrick Garland demanding information on special counsel Jack Smith after former President Trump was indicted.,0.022728346,0.00078201294,0.0114649,0.011167783,0.007637825,0.0029043318
315,A Boat conveying over 100 people has capsized in River Niger around Patigi in Kwara State.The incident occurred at the early hours on Tuesday,0.04711028,0.003414154,0.012034904,0.028640235,0.027861187,0.016862517
